;date;geo;"""machine learning""";ID;trends
0;2004-01-01;DK;42;;
1;2004-02-01;DK;0;;
2;2004-03-01;DK;0;;
3;2004-04-01;DK;0;;
4;2004-05-01;DK;0;;
5;2004-06-01;DK;36;;
6;2004-07-01;DK;43;;
7;2004-08-01;DK;34;;
8;2004-09-01;DK;0;;
9;2004-10-01;DK;32;;
10;2004-11-01;DK;31;;
11;2004-12-01;DK;30;;
12;2005-01-01;DK;0;;
13;2005-02-01;DK;27;;
14;2005-03-01;DK;24;;
15;2005-04-01;DK;27;;
16;2005-05-01;DK;0;;
17;2005-06-01;DK;0;;
18;2005-07-01;DK;0;;
19;2005-08-01;DK;46;;
20;2005-09-01;DK;21;;
21;2005-10-01;DK;20;;
22;2005-11-01;DK;0;;
23;2005-12-01;DK;20;;
24;2006-01-01;DK;0;;
25;2006-02-01;DK;18;;
26;2006-03-01;DK;15;;
27;2006-04-01;DK;17;;
28;2006-05-01;DK;16;;
29;2006-06-01;DK;0;;
30;2006-07-01;DK;0;;
31;2006-08-01;DK;15;;
32;2006-09-01;DK;14;;
33;2006-10-01;DK;26;;
34;2006-11-01;DK;12;;
35;2006-12-01;DK;0;;
36;2007-01-01;DK;0;;
37;2007-02-01;DK;12;;
38;2007-03-01;DK;0;;
39;2007-04-01;DK;0;;
40;2007-05-01;DK;10;;
41;2007-06-01;DK;21;;
42;2007-07-01;DK;11;;
43;2007-08-01;DK;10;;
44;2007-09-01;DK;9;;
45;2007-10-01;DK;0;;
46;2007-11-01;DK;16;;
47;2007-12-01;DK;0;;
48;2008-01-01;DK;15;;
49;2008-02-01;DK;0;;
50;2008-03-01;DK;0;;
51;2008-04-01;DK;8;;
52;2008-05-01;DK;0;;
53;2008-06-01;DK;8;;
54;2008-07-01;DK;0;;
55;2008-08-01;DK;8;;
56;2008-09-01;DK;7;;
57;2008-10-01;DK;7;;
58;2008-11-01;DK;7;;
59;2008-12-01;DK;7;;
60;2009-01-01;DK;6;;
61;2009-02-01;DK;7;;
62;2009-03-01;DK;6;;
63;2009-04-01;DK;7;;
64;2009-05-01;DK;7;;
65;2009-06-01;DK;11;;
66;2009-07-01;DK;0;;
67;2009-08-01;DK;0;;
68;2009-09-01;DK;6;;
69;2009-10-01;DK;6;;
70;2009-11-01;DK;9;;
71;2009-12-01;DK;16;;
72;2010-01-01;DK;11;;
73;2010-02-01;DK;6;;
74;2010-03-01;DK;22;;
75;2010-04-01;DK;6;;
76;2010-05-01;DK;6;;
77;2010-06-01;DK;6;;
78;2010-07-01;DK;7;;
79;2010-08-01;DK;6;;
80;2010-09-01;DK;6;;
81;2010-10-01;DK;6;;
82;2010-11-01;DK;11;;
83;2010-12-01;DK;0;;
84;2011-01-01;DK;7;;
85;2011-02-01;DK;4;;
86;2011-03-01;DK;7;;
87;2011-04-01;DK;4;;
88;2011-05-01;DK;6;;
89;2011-06-01;DK;7;;
90;2011-07-01;DK;4;;
91;2011-08-01;DK;10;;
92;2011-09-01;DK;11;;
93;2011-10-01;DK;17;;
94;2011-11-01;DK;7;;
95;2011-12-01;DK;7;;
96;2012-01-01;DK;9;;
97;2012-02-01;DK;8;;
98;2012-03-01;DK;9;;
99;2012-04-01;DK;9;;
100;2012-05-01;DK;8;;
101;2012-06-01;DK;6;;
102;2012-07-01;DK;4;;
103;2012-08-01;DK;9;;
104;2012-09-01;DK;5;;
105;2012-10-01;DK;9;;
106;2012-11-01;DK;4;;
107;2012-12-01;DK;7;;
108;2013-01-01;DK;8;;
109;2013-02-01;DK;6;;
110;2013-03-01;DK;9;;
111;2013-04-01;DK;7;;
112;2013-05-01;DK;6;;
113;2013-06-01;DK;3;;
114;2013-07-01;DK;9;;
115;2013-08-01;DK;6;;
116;2013-09-01;DK;8;;
117;2013-10-01;DK;9;;
118;2013-11-01;DK;11;;
119;2013-12-01;DK;7;;
120;2014-01-01;DK;11;;
121;2014-02-01;DK;17;;
122;2014-03-01;DK;10;;
123;2014-04-01;DK;9;;
