;date;geo;GT_DK_0;GT_DK_1;GT_DK_2;GT_DK_3;GT_DK_4;GT_DK_5;GT_DK_6;GT_DK_7;GT_DK_8;GT_DK_9;GT_DK_10;GT_DK_11;GT_DK_12;GT_DK_13;GT_DK_14;GT_DK_15;GT_DK_16;GT_DK_17;GT_DK_18;GT_DK_19;GT_DK_20;GT_DK_21;ID;trends
0;2004-01-01;DK-81;0;86;94;0;35;52;32;11;80;10;0;57;0;0;0;0;0;0;0;25;98;0;North Denmark;DK-81
1;2004-02-01;DK-81;0;60;70;0;77;0;0;18;73;8;50;61;100;0;85;28;0;0;19;45;0;0;North Denmark;DK-81
2;2004-03-01;DK-81;0;77;79;0;90;67;0;36;50;6;58;0;0;100;100;0;0;0;0;53;62;0;North Denmark;DK-81
3;2004-04-01;DK-81;60;100;90;0;77;0;0;25;76;8;76;62;0;87;0;0;0;0;0;18;0;0;North Denmark;DK-81
4;2004-05-01;DK-81;50;50;68;0;0;0;87;21;80;9;42;53;0;73;72;0;0;0;16;31;0;0;North Denmark;DK-81
5;2004-06-01;DK-81;0;69;78;0;33;75;30;14;80;9;0;54;0;0;0;0;0;0;0;32;0;0;North Denmark;DK-81
6;2004-07-01;DK-81;62;64;70;0;63;0;0;27;90;14;53;0;0;94;0;0;0;0;20;39;0;0;North Denmark;DK-81
7;2004-08-01;DK-81;73;33;100;0;32;48;0;20;60;9;42;50;0;70;0;0;0;0;26;76;0;0;North Denmark;DK-81
8;2004-09-01;DK-81;42;57;67;27;36;41;25;26;73;11;36;44;0;62;62;21;0;0;22;26;0;0;North Denmark;DK-81
9;2004-10-01;DK-81;0;58;71;27;56;0;0;18;59;8;37;0;0;0;0;21;0;0;18;60;0;0;North Denmark;DK-81
10;2004-11-01;DK-81;0;47;69;0;46;40;0;38;79;12;72;0;0;91;0;0;0;0;13;13;0;0;North Denmark;DK-81
11;2004-12-01;DK-81;0;66;50;27;55;40;100;15;58;9;36;0;0;0;63;0;0;0;18;52;0;0;North Denmark;DK-81
12;2005-01-01;DK-81;50;34;97;0;32;32;20;26;67;13;100;35;0;48;50;49;0;63;16;52;61;0;North Denmark;DK-81
13;2005-02-01;DK-81;76;51;99;0;25;37;0;26;66;11;48;66;0;0;0;18;0;53;12;53;0;100;North Denmark;DK-81
14;2005-03-01;DK-81;0;78;82;42;57;32;19;28;70;11;42;34;56;0;0;0;0;15;11;46;0;87;North Denmark;DK-81
15;2005-04-01;DK-81;0;37;64;0;56;36;22;39;65;11;32;97;62;0;55;37;0;17;24;58;34;97;North Denmark;DK-81
16;2005-05-01;DK-81;64;22;61;0;52;61;19;14;59;16;41;68;55;48;95;63;0;15;21;60;0;0;North Denmark;DK-81
17;2005-06-01;DK-81;35;95;69;0;23;34;0;32;91;8;30;74;0;52;0;17;0;33;11;49;32;0;North Denmark;DK-81
18;2005-07-01;DK-81;84;71;58;0;100;100;0;18;65;12;71;65;70;0;62;20;0;19;27;26;0;0;North Denmark;DK-81
19;2005-08-01;DK-81;0;66;64;21;42;47;0;11;100;23;41;0;54;0;48;16;0;15;21;25;29;0;North Denmark;DK-81
20;2005-09-01;DK-81;44;39;69;0;44;56;17;18;80;19;49;61;49;43;0;14;0;27;12;54;26;0;North Denmark;DK-81
21;2005-10-01;DK-81;28;44;70;0;18;27;32;23;78;16;95;29;48;0;61;27;0;26;12;26;25;74;North Denmark;DK-81
