date,target_actual,ID,target_lag,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,pop,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2008-07-01,2.6,Capital,2.9,0.8923766816143498,0.07410313901345292,0.06199551569506727,0.08565022421524664,0.13464125560538118,0.06625560538116591,0.06692825112107623,0.11154708520179372,0.19798206278026906,0.11076233183856501,0.08878923766816144,1648990.0,19.02024875833085,54.09371797281972,1.1041391876746625,97.21887796440771,14.0,52.0,74.49,59.0,51.55,77.89,17.24,44.0,86.49,42.0,38.54,28.0,23.91,30.3,46.0,35.9,35.0,32.0,36.84,83.0,9.0,18.0
2008-08-01,2.8,Capital,2.6,0.9345291479820628,0.07152466367713003,0.06278026905829596,0.0961883408071749,0.14304932735426007,0.07993273542600897,0.07746636771300448,0.11939461883408072,0.19316143497757848,0.10504484304932735,0.09798206278026907,1648990.0,19.02024875833085,54.09371797281972,1.1041391876746625,97.21887796440771,11.0,63.0,83.67,57.0,43.3,83.16,18.97,61.0,91.89,43.0,37.5,39.0,25.0,41.41,28.0,48.72,23.0,42.0,42.11,80.0,18.0,15.0
2008-09-01,2.8,Capital,2.8,0.9471973094170404,0.08542600896860986,0.06625560538116591,0.10571748878923767,0.13766816143497757,0.06995515695067264,0.07230941704035874,0.11804932735426008,0.19652466367713006,0.1147982062780269,0.09484304932735425,1648990.0,19.02024875833085,54.09371797281972,1.1062977531633291,97.21887796440771,14.0,57.0,89.8,62.0,56.7,76.84,36.21,60.0,75.68,44.0,35.42,28.0,21.74,32.32,53.0,48.72,28.0,48.0,49.12,86.0,21.0,22.0
2008-10-01,3.0,Capital,2.8,0.8743119266055046,0.0676605504587156,0.07098623853211009,0.09896788990825688,0.11892201834862386,0.051261467889908256,0.06628440366972477,0.10619266055045871,0.19254587155963304,0.11731651376146789,0.09369266055045872,1650985.0,18.997265268915214,52.816954727026605,1.1059087156282843,97.21617714135144,20.0,63.0,89.8,79.0,54.64,49.47,72.41,58.0,94.59,49.0,39.58,45.0,35.87,26.26,59.0,48.72,25.0,46.0,57.89,82.0,25.0,23.0
2008-11-01,3.2,Capital,3.0,0.6803899082568807,0.0576834862385321,0.05355504587155963,0.07626146788990826,0.07878440366972476,0.04036697247706422,0.0540137614678899,0.09048165137614679,0.14793577981651376,0.09128440366972476,0.07270642201834862,1650985.0,18.997265268915214,52.816954727026605,1.1059087156282843,97.21617714135144,20.0,55.0,78.57,65.0,57.73,70.53,55.17,64.0,89.19,43.0,38.54,50.0,28.26,32.32,34.0,46.15,53.0,45.0,45.61,76.0,25.0,24.0
2008-12-01,3.4,Capital,3.2,0.6006880733944955,0.045871559633027525,0.03967889908256881,0.06685779816513761,0.0680045871559633,0.022591743119266056,0.04655963302752293,0.08818807339449541,0.12408256880733946,0.10711009174311927,0.05894495412844037,1650985.0,18.997265268915214,52.816954727026605,1.1059087156282843,97.21617714135144,24.0,45.0,67.35,64.0,43.3,58.95,43.1,53.0,89.19,48.0,43.75,36.0,26.09,35.35,41.0,43.59,27.0,49.0,42.11,74.0,32.0,7.0
2009-01-01,3.8,Capital,3.4,0.7050359712230215,0.04928057553956834,0.0513189448441247,0.07338129496402877,0.08453237410071943,0.03225419664268585,0.04688249400479616,0.10443645083932855,0.14268585131894485,0.1237410071942446,0.0841726618705036,1660042.0,18.893618354234405,50.23969273066586,1.106433050070424,97.22916439249079,37.0,70.0,89.8,78.0,69.07,93.68,93.1,80.0,94.59,65.0,68.75,68.0,52.17,59.6,56.0,53.85,35.0,51.0,57.89,100.0,39.0,21.0
2009-02-01,4.2,Capital,3.8,0.596642685851319,0.045323741007194246,0.04424460431654676,0.06534772182254196,0.07086330935251799,0.023860911270983214,0.042925659472422065,0.07350119904076739,0.12673860911270984,0.11247002398081535,0.06606714628297361,1660042.0,18.893618354234405,50.23969273066586,1.106433050070424,97.22916439249079,28.0,66.0,88.78,83.0,63.92,84.21,60.34,81.0,89.19,68.0,63.54,40.0,33.7,41.41,50.0,48.72,25.0,56.0,56.14,92.0,46.0,10.0
2009-03-01,4.5,Capital,4.2,0.6160671462829735,0.03357314148681055,0.0422062350119904,0.06294964028776978,0.08153477218225419,0.026258992805755395,0.03956834532374101,0.0829736211031175,0.12565947242206235,0.11690647482014388,0.07541966426858514,1660042.0,18.893618354234405,50.23969273066586,1.106433050070424,97.22916439249079,29.0,69.0,79.59,85.0,59.79,73.68,81.03,79.0,89.19,78.0,51.04,54.0,36.96,38.38,48.0,56.41,27.0,55.0,54.39,82.0,44.0,26.0
2009-04-01,4.5,Capital,4.5,0.5993932038834952,0.03810679611650485,0.0375,0.06298543689320388,0.08228155339805825,0.03046116504854369,0.03944174757281553,0.08300970873786408,0.10570388349514562,0.10910194174757282,0.08033980582524272,1662285.0,18.86812429878149,49.57032037225867,1.1066540688212951,97.23301808639091,34.0,65.0,72.45,70.0,55.67,65.26,77.59,77.0,83.78,69.0,46.88,43.0,25.0,25.25,62.0,35.9,26.0,53.0,54.39,91.0,45.0,30.0
