date,jobs,ID,labour_force,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other
2004-01-01,5176,Capital,,257,286,514,672,342,518,642,940,799,566
2004-02-01,4921,Capital,,354,290,423,595,342,557,495,908,778,482
2004-03-01,5724,Capital,,363,319,492,811,431,526,698,1011,894,560
2004-04-01,5019,Capital,,289,255,442,747,412,441,558,897,806,505
2004-05-01,5414,Capital,,294,263,512,696,461,487,739,953,779,561
2004-06-01,5650,Capital,,337,343,432,735,446,526,751,1014,782,562
2004-07-01,4636,Capital,,323,234,341,655,459,413,634,679,714,440
2004-08-01,7271,Capital,,634,420,812,876,538,736,782,1188,752,869
2004-09-01,5882,Capital,,390,349,535,772,530,576,731,929,811,596
2004-10-01,5654,Capital,,336,319,521,659,484,555,719,1065,832,506
2004-11-01,5992,Capital,,395,325,563,723,479,619,797,1031,867,551
2004-12-01,4924,Capital,,316,299,479,546,345,464,668,966,645,487
2005-01-01,6737,Capital,,450,358,584,836,533,660,800,1328,952,650
2005-02-01,5953,Capital,,354,346,552,764,555,566,622,1119,763,659
2005-03-01,6285,Capital,,385,348,529,857,539,580,649,1137,891,728
2005-04-01,7385,Capital,,371,328,570,1070,760,693,829,1358,1003,806
2005-05-01,8326,Capital,,452,383,699,1185,905,732,1054,1578,1010,778
2005-06-01,8062,Capital,,481,424,634,1199,837,735,956,1592,983,691
2005-07-01,5787,Capital,,418,303,435,931,611,517,704,1067,609,510
2005-08-01,7972,Capital,,472,394,662,1209,895,757,1001,1466,902,627
2005-09-01,10209,Capital,,707,634,837,1235,989,904,1239,1960,1428,832
2005-10-01,14592,Capital,,915,941,1459,1642,1094,1509,1709,3154,2182,890
2005-11-01,14534,Capital,,946,865,1316,1445,1012,1568,1804,3273,2137,964
2005-12-01,11993,Capital,,782,765,1066,1174,683,1263,1426,2789,1596,1033
2006-01-01,15101,Capital,,934,1039,1321,1618,1043,1531,1763,3352,2181,1135
2006-02-01,9199,Capital,,569,581,750,1178,778,925,947,2017,1243,712
2006-03-01,9698,Capital,,665,552,746,1319,990,872,969,1902,1411,744
2006-04-01,8228,Capital,,405,376,688,1240,1057,768,794,1625,1022,707
2006-05-01,10025,Capital,,495,517,850,1535,1212,843,1155,1934,1257,822
2006-06-01,9635,Capital,,432,417,644,1543,1202,823,1144,1750,1166,998
2006-07-01,6568,Capital,,330,312,449,1104,717,521,756,1217,828,632
2006-08-01,8909,Capital,,437,422,697,1437,947,721,1180,1622,1129,775
2006-09-01,8623,Capital,,490,415,724,1332,947,772,954,1631,1059,792
2006-10-01,8378,Capital,,465,455,702,1301,844,677,952,1631,1129,675
2006-11-01,9252,Capital,,468,616,748,1241,816,746,1236,1752,1326,775
2006-12-01,7079,Capital,,440,522,640,868,512,597,910,1404,942,646
2007-01-01,13200,Capital,907000,776,1101,1232,1834,1180,1182,1520,2885,1662,1089
2007-02-01,11008,Capital,907000,775,783,1105,1607,1068,914,1049,2574,1426,905
2007-03-01,12840,Capital,907000,873,957,1189,1964,1304,1051,1229,2846,1495,1319
2007-04-01,11873,Capital,904000,703,893,1270,1824,1203,966,1260,2577,1359,1204
