date,target_actual,ID,target_season,target_actual_lag,target_season_lag
2019-08-01,3.3,Zealand,3.6,3.2,3.6
2019-07-01,3.2,Zealand,3.6,3.4,3.6
2019-06-01,3.4,Zealand,3.6,3.5,3.6
2019-05-01,3.5,Zealand,3.6,3.5,3.6
2019-04-01,3.5,Zealand,3.6,3.9,3.6
2019-03-01,3.9,Zealand,3.6,4.0,3.6
2019-02-01,4.0,Zealand,3.6,4.0,3.6
2019-01-01,4.0,Zealand,3.6,3.8,3.7
2018-12-01,3.8,Zealand,3.7,3.7,3.7
2018-11-01,3.7,Zealand,3.7,3.6,3.7
2018-10-01,3.6,Zealand,3.7,3.5,3.7
2018-09-01,3.5,Zealand,3.7,3.5,3.8
2018-08-01,3.5,Zealand,3.8,3.4,3.8
2018-07-01,3.4,Zealand,3.8,3.7,3.9
2018-06-01,3.7,Zealand,3.9,3.9,3.9
2018-05-01,3.9,Zealand,3.9,3.9,4.0
2018-04-01,3.9,Zealand,4.0,4.4,4.1
2018-03-01,4.4,Zealand,4.1,4.5,4.0
2018-02-01,4.5,Zealand,4.0,4.5,4.0
2018-01-01,4.5,Zealand,4.0,4.2,4.1
2017-12-01,4.2,Zealand,4.1,4.1,4.2
2017-11-01,4.1,Zealand,4.2,4.1,4.2
2017-10-01,4.1,Zealand,4.2,4.0,4.3
2017-09-01,4.0,Zealand,4.3,4.0,4.3
2017-08-01,4.0,Zealand,4.3,3.9,4.4
2017-07-01,3.9,Zealand,4.4,4.1,4.3
2017-06-01,4.1,Zealand,4.3,4.2,4.2
2017-05-01,4.2,Zealand,4.2,4.2,4.2
2017-04-01,4.2,Zealand,4.2,4.5,4.2
2017-03-01,4.5,Zealand,4.2,4.7,4.2
2017-02-01,4.7,Zealand,4.2,4.6,4.2
2017-01-01,4.6,Zealand,4.2,4.3,4.2
2016-12-01,4.3,Zealand,4.2,4.1,4.2
2016-11-01,4.1,Zealand,4.2,4.0,4.1
2016-10-01,4.0,Zealand,4.1,3.8,4.0
2016-09-01,3.8,Zealand,4.0,3.7,4.0
2016-08-01,3.7,Zealand,4.0,3.5,4.0
2016-07-01,3.5,Zealand,4.0,3.9,4.0
2016-06-01,3.9,Zealand,4.0,4.0,4.1
2016-05-01,4.0,Zealand,4.1,4.0,4.1
2016-04-01,4.0,Zealand,4.1,4.4,4.1
2016-03-01,4.4,Zealand,4.1,4.6,4.1
2016-02-01,4.6,Zealand,4.1,4.7,4.2
2016-01-01,4.7,Zealand,4.2,4.5,4.3
2015-12-01,4.5,Zealand,4.3,4.3,4.3
2015-11-01,4.3,Zealand,4.3,4.2,4.4
2015-10-01,4.2,Zealand,4.4,4.2,4.5
2015-09-01,4.2,Zealand,4.5,4.1,4.5
2015-08-01,4.1,Zealand,4.5,4.0,4.5
2015-07-01,4.0,Zealand,4.5,4.5,4.7
2015-06-01,4.5,Zealand,4.7,4.6,4.7
2015-05-01,4.6,Zealand,4.7,4.7,4.7
2015-04-01,4.7,Zealand,4.7,5.1,4.7
2015-03-01,5.1,Zealand,4.7,5.4,4.8
2015-02-01,5.4,Zealand,4.8,5.4,4.8
