;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
0;Capital Region of Denmark;DK-84;2006-01-01;65;93;92;19;81;27;58;71;84;48;61;79;27;39;57;57;0;45;37;61;22;17;Capital;DK-84
1;Central Denmark Region;DK-82;2006-01-01;59;78;95;100;66;27;66;75;90;88;51;85;54;44;72;16;0;100;26;100;64;34;Central Denmark;DK-82
2;North Denmark Region;DK-81;2006-01-01;58;100;100;74;86;80;100;44;100;93;60;85;81;100;0;95;0;47;78;90;0;100;North Denmark;DK-81
3;Region Syddanmark;DK-83;2006-01-01;46;39;91;0;100;79;57;100;77;100;100;100;48;52;24;38;100;61;54;82;100;40;Southern Denmark;DK-83
4;Region Zealand;DK-85;2006-01-01;100;68;86;62;94;100;81;48;82;64;37;72;100;0;100;100;0;39;100;68;0;0;Zealand;DK-85
5;Capital Region of Denmark;DK-84;2006-02-01;13;100;83;100;68;56;30;54;80;29;89;24;17;51;17;100;100;47;57;61;26;100;Capital;DK-84
6;Central Denmark Region;DK-82;2006-02-01;13;93;100;65;59;61;58;59;91;40;84;47;0;0;25;22;0;60;32;51;34;0;Central Denmark;DK-82
7;North Denmark Region;DK-81;2006-02-01;79;65;83;0;100;61;100;100;60;100;39;0;100;100;100;0;0;99;94;70;100;0;North Denmark;DK-81
8;Region Syddanmark;DK-83;2006-02-01;47;32;76;78;89;48;40;71;94;45;100;24;0;0;30;39;0;95;57;100;80;0;Southern Denmark;DK-83
9;Region Zealand;DK-85;2006-02-01;100;55;91;0;62;100;0;42;100;40;81;100;0;83;42;54;0;100;100;40;84;0;Zealand;DK-85
10;Capital Region of Denmark;DK-84;2006-03-01;100;100;76;51;58;38;68;55;66;41;92;38;51;51;59;38;0;63;15;90;27;100;Capital;DK-84
11;Central Denmark Region;DK-82;2006-03-01;56;78;76;33;34;50;50;35;70;71;87;42;100;50;83;58;0;67;35;94;21;0;Central Denmark;DK-82
12;North Denmark Region;DK-81;2006-03-01;0;54;98;100;59;100;100;76;70;100;100;100;0;100;100;100;0;68;30;60;63;0;North Denmark;DK-81
13;Region Syddanmark;DK-83;2006-03-01;67;71;100;60;53;50;40;79;95;66;56;60;60;40;80;60;0;54;72;78;100;0;Southern Denmark;DK-83
14;Region Zealand;DK-85;2006-03-01;0;45;96;0;100;83;0;100;100;84;67;63;0;83;84;42;0;100;100;100;53;0;Zealand;DK-85
15;Capital Region of Denmark;DK-84;2006-04-01;43;63;88;69;67;34;26;54;59;41;70;100;20;86;43;67;0;45;19;59;17;100;Capital;DK-84
16;Central Denmark Region;DK-82;2006-04-01;82;50;81;33;51;99;34;39;65;76;57;43;0;50;67;65;0;56;28;87;25;0;Central Denmark;DK-82
17;North Denmark Region;DK-81;2006-04-01;0;100;81;100;35;100;100;68;66;100;51;65;60;100;100;79;0;62;100;100;100;0;North Denmark;DK-81
18;Region Syddanmark;DK-83;2006-04-01;100;46;73;0;68;81;30;41;82;84;82;26;47;40;0;64;0;100;34;80;0;0;Southern Denmark;DK-83
19;Region Zealand;DK-85;2006-04-01;0;53;100;0;100;86;64;100;100;31;100;0;100;86;85;100;0;66;41;78;0;0;Zealand;DK-85
20;Capital Region of Denmark;DK-84;2006-05-01;19;90;100;43;60;92;51;50;78;34;85;100;60;42;48;49;100;51;36;69;39;80;Capital;DK-84
21;Central Denmark Region;DK-82;2006-05-01;100;68;85;35;100;100;34;65;81;91;100;35;52;100;58;46;0;74;44;75;39;80;Central Denmark;DK-82
22;North Denmark Region;DK-81;2006-05-01;73;78;94;100;40;97;100;44;95;62;63;69;100;0;56;80;0;100;100;58;0;0;North Denmark;DK-81
23;Region Syddanmark;DK-83;2006-05-01;30;100;98;42;49;81;42;66;100;100;35;57;84;81;48;48;0;82;65;100;94;100;Southern Denmark;DK-83
24;Region Zealand;DK-85;2006-05-01;0;68;74;90;100;84;88;100;95;75;73;0;0;87;100;100;0;72;37;57;100;0;Zealand;DK-85
25;Capital Region of Denmark;DK-84;2006-06-01;25;100;91;72;56;100;25;53;70;27;77;48;61;50;59;98;100;29;22;59;38;100;Capital;DK-84
26;Central Denmark Region;DK-82;2006-06-01;25;60;91;100;77;33;0;49;72;63;98;56;0;98;19;86;0;71;40;65;100;0;Central Denmark;DK-82
27;North Denmark Region;DK-81;2006-06-01;100;46;87;0;58;100;100;37;81;61;100;0;0;100;59;59;0;69;100;100;0;0;North Denmark;DK-81
28;Region Syddanmark;DK-83;2006-06-01;30;66;80;70;96;41;81;84;96;100;81;93;100;0;47;59;0;47;31;99;93;0;Southern Denmark;DK-83
29;Region Zealand;DK-85;2006-06-01;42;59;100;73;100;84;0;100;100;81;56;100;0;86;100;100;0;100;47;92;0;0;Zealand;DK-85
30;Capital Region of Denmark;DK-84;2006-07-01;21;48;89;51;67;47;33;68;62;36;62;100;21;52;31;44;0;68;82;79;62;21;Capital;DK-84
31;Central Denmark Region;DK-82;2006-07-01;24;31;80;100;100;72;0;34;77;69;59;59;21;0;31;64;0;82;100;78;83;41;Central Denmark;DK-82
32;North Denmark Region;DK-81;2006-07-01;100;100;95;0;50;66;100;100;76;100;100;0;65;0;100;100;0;97;76;77;0;0;North Denmark;DK-81
33;Region Syddanmark;DK-83;2006-07-01;50;19;100;0;71;38;40;44;63;73;26;48;25;50;38;26;100;100;77;100;100;50;Southern Denmark;DK-83
34;Region Zealand;DK-85;2006-07-01;41;0;98;0;61;100;80;34;100;79;40;96;100;100;78;53;0;51;0;80;0;100;Zealand;DK-85
35;Capital Region of Denmark;DK-84;2006-08-01;29;59;78;50;64;100;20;73;70;38;39;22;42;52;55;49;0;84;33;65;100;0;Capital;DK-84
36;Central Denmark Region;DK-82;2006-08-01;24;93;94;100;100;56;81;72;82;76;32;75;82;41;55;65;100;98;70;100;66;100;Central Denmark;DK-82
37;North Denmark Region;DK-81;2006-08-01;100;100;65;0;68;58;0;100;81;100;100;100;0;0;85;100;0;93;100;54;0;0;North Denmark;DK-81
38;Region Syddanmark;DK-83;2006-08-01;40;56;84;31;75;46;0;83;75;76;50;39;100;0;100;99;0;100;78;78;80;0;Southern Denmark;DK-83
39;Region Zealand;DK-85;2006-08-01;0;35;100;63;84;47;100;100;100;99;40;80;69;100;0;40;0;92;80;86;0;0;Zealand;DK-85
40;Capital Region of Denmark;DK-84;2006-09-01;16;100;89;17;51;59;42;65;77;35;42;51;71;31;100;34;0;89;43;68;50;62;Capital;DK-84
41;Central Denmark Region;DK-82;2006-09-01;32;45;89;16;81;66;33;58;86;66;44;69;60;100;84;100;0;68;70;73;0;81;Central Denmark;DK-82
42;North Denmark Region;DK-81;2006-09-01;0;30;80;100;58;100;100;90;73;100;100;60;0;0;86;52;0;57;100;76;0;0;North Denmark;DK-81
