date,target_actual,ID,target_lag,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,pop,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2007-02-01,4.8,Capital,4.9,1.260650480989464,0.08875400824553366,0.0896701786532295,0.1265460375629867,0.18403573064590012,0.1223087494273935,0.10467246907924874,0.1201328447091159,0.2947778286761338,0.16330737517178195,0.10364177737059092,1636749.0,18.111390323134454,53.34965837767428,1.0228363233768407,97.09857581382505,16.0,63.0,71.0,69.0,34.02,34.74,44.83,38.0,89.23,25.0,29.17,36.0,29.35,46.46,62.0,18.0,24.0,32.0,15.0,79.0,9.0,18.0
2007-03-01,4.6,Capital,4.8,1.4770469662283565,0.10042538952627378,0.11008831360440322,0.13677638962971309,0.22592836773150252,0.15000539283191408,0.12090158578707186,0.14137778204786994,0.32738907055186156,0.17197704162861316,0.15173091498872293,1636749.0,18.111390323134454,53.111508239809524,1.0228363233768407,97.09857581382505,28.0,68.0,60.0,52.0,31.96,58.95,48.28,40.0,78.46,22.0,34.38,34.0,43.48,20.2,44.0,20.0,21.0,54.0,16.0,85.0,6.0,22.0
2007-04-01,4.3,Capital,4.6,1.3692700307638868,0.08107444046382653,0.10298645139999586,0.14646449415228974,0.21035530498722557,0.13873762713795637,0.11140527665441881,0.14531123041880714,0.2971960641184651,0.15672854138028486,0.1388529535113046,1636749.0,18.111390323134454,52.97723413913801,1.022836323376841,97.09857581382505,20.0,53.0,65.0,55.0,47.42,37.89,51.72,33.0,83.08,19.0,36.46,49.0,13.04,38.38,72.0,19.0,0.0,59.0,25.0,99.0,10.0,36.0
2007-05-01,4.3,Capital,4.3,1.407431403607943,0.08094112211521465,0.11156749264529588,0.14403605087643462,0.21852951603794796,0.1441511876077507,0.10097491336421514,0.15969464633542352,0.310869174553456,0.16936613176597545,0.1378186673853655,1636749.0,18.111390323134454,53.06449308965517,1.0228363233768407,97.1666623489143,21.0,62.0,67.0,60.0,48.45,51.58,44.83,38.0,67.69,21.0,33.33,34.0,23.91,39.39,35.0,19.0,20.0,51.0,21.0,76.0,10.0,10.0
2007-06-01,4.1,Capital,4.3,1.3422194723003502,0.07810754041142548,0.10781858104340902,0.11304122490449989,0.20832546068129087,0.15076031945682272,0.09365941324222937,0.15563478706050754,0.2781928296674397,0.14542161684326319,0.15006396694201063,1636749.0,18.111390323134454,52.64292570210826,1.0228363233768405,97.16666234891431,18.0,79.0,65.0,63.0,43.3,50.53,25.86,37.0,73.85,22.0,44.79,37.0,16.3,43.43,33.0,21.0,0.0,43.0,30.0,89.0,9.0,11.0
2007-07-01,3.7,Capital,4.1,1.070704744357439,0.07853523721787195,0.08360202671579917,0.10283279594656841,0.17491939198526024,0.10444495624136343,0.07968678028558268,0.1144633809304468,0.2422846614463381,0.11837862736066328,0.09695992630124366,1636749.0,18.623747440811023,53.05639410807643,1.0228363233768405,97.16666234891431,20.0,58.0,68.0,51.0,37.11,78.95,29.31,33.0,70.77,23.0,37.5,35.0,18.48,32.32,44.0,11.0,23.0,40.0,23.0,68.0,10.0,0.0
2007-08-01,3.8,Capital,3.7,1.2566154887264929,0.07883294241119104,0.10124172341728763,0.12204166886397214,0.20845912176953432,0.12284608664367817,0.0944616307026225,0.1519200435387676,0.26925012255017583,0.13973886001750482,0.11962841552485405,1636749.0,18.623747440811023,53.1660376759051,1.0228363233768405,97.16666234891431,22.0,70.0,74.0,68.0,60.82,54.74,44.83,47.0,73.85,29.0,36.46,37.0,30.43,23.23,46.0,17.0,20.0,36.0,24.0,89.0,16.0,10.0
2007-09-01,3.7,Capital,3.8,1.2205483487524396,0.08541994016108403,0.08023249440231374,0.10467112775474266,0.18179115470179422,0.1287639313899202,0.09152959849919126,0.12080984789313907,0.24484743981395746,0.13256805827968507,0.1784481341016978,1636749.0,18.623747440811023,53.00012097151121,1.1032895957239588,97.1666623489143,13.0,74.0,77.0,58.0,67.01,63.16,36.21,46.0,64.62,24.0,33.33,42.0,14.13,19.19,40.0,24.0,37.0,40.0,21.0,92.0,13.0,19.0
2007-10-01,3.6,Capital,3.7,1.2886433133228887,0.09002150422077147,0.08479444913698475,0.13230257200962414,0.18445696606785175,0.11162666523375663,0.10268259320149933,0.12986327963719035,0.2813317202873658,0.16714960590153569,0.1612256101399107,1636749.0,18.623747440811023,52.598499220100344,1.1032895957239586,97.1666623489143,20.0,72.0,74.0,70.0,52.58,64.21,37.93,47.0,56.92,26.0,29.17,37.0,30.43,18.18,60.0,19.0,17.0,42.0,27.0,96.0,17.0,31.0
2007-11-01,3.5,Capital,3.6,1.3466583477189298,0.10290930297308115,0.10093251410241179,0.13430536150724148,0.16384091286900715,0.09604868277487574,0.10825826109371589,0.15988733512766845,0.28582041435913386,0.18174829440330603,0.16244553248971116,1636749.0,18.623747440811023,52.54199391598834,1.1032895957239586,97.1666623489143,18.0,68.0,68.0,72.0,41.24,84.21,56.9,50.0,50.77,28.0,35.42,44.0,23.91,32.32,45.0,19.0,0.0,51.0,24.0,87.0,20.0,29.0
