date,labour_force,ID
2007-01-01,,North Denmark
2007-01-01,,Central Denmark
2007-01-01,,Southern Denmark
2007-01-01,,Capital
2007-01-01,,Zealand
2007-02-01,288060.32,North Denmark
2007-02-01,589597.83,Southern Denmark
2007-02-01,873200.0,Capital
2007-02-01,407458.7,Zealand
2007-02-01,645957.5,Central Denmark
2007-03-01,292023.33,North Denmark
2007-03-01,593772.73,Southern Denmark
2007-03-01,869302.08,Capital
2007-03-01,410415.56,Zealand
2007-03-01,648431.58,Central Denmark
2007-04-01,410852.38,Zealand
2007-04-01,867104.35,Capital
2007-04-01,588948.78,Southern Denmark
2007-04-01,645531.43,Central Denmark
2007-04-01,289594.64,North Denmark
2007-05-01,292337.5,North Denmark
2007-05-01,631296.88,Central Denmark
2007-05-01,603236.11,Southern Denmark
2007-05-01,868532.56,Capital
2007-05-01,409207.89,Zealand
2007-06-01,648066.67,Central Denmark
2007-06-01,414258.33,Zealand
2007-06-01,591922.86,Southern Denmark
2007-06-01,861632.56,Capital
2007-06-01,291297.83,North Denmark
2007-07-01,591465.62,Southern Denmark
2007-07-01,288500.0,North Denmark
2007-07-01,647139.29,Central Denmark
2007-07-01,868400.0,Capital
2007-07-01,405182.35,Zealand
2007-08-01,290454.05,North Denmark
2007-08-01,641732.0,Central Denmark
2007-08-01,597500.0,Southern Denmark
2007-08-01,870194.59,Capital
2007-08-01,402346.67,Zealand
2007-09-01,402910.0,Zealand
2007-09-01,289915.38,North Denmark
2007-09-01,631585.19,Central Denmark
2007-09-01,597651.72,Southern Denmark
2007-09-01,867478.95,Capital
2007-10-01,290950.0,North Denmark
2007-10-01,640792.0,Central Denmark
2007-10-01,413872.41,Zealand
2007-10-01,860905.41,Capital
2007-10-01,598646.43,Southern Denmark
2007-11-01,291881.08,North Denmark
2007-11-01,640337.5,Central Denmark
2007-11-01,585439.29,Southern Denmark
2007-11-01,859980.56,Capital
2007-11-01,414600.0,Zealand
2007-12-01,647130.43,Central Denmark
2007-12-01,606537.04,Southern Denmark
2007-12-01,862065.71,Capital
2007-12-01,291691.89,North Denmark
2007-12-01,414151.72,Zealand
2008-01-01,591103.45,Southern Denmark
2008-01-01,865545.71,Capital
2008-01-01,413773.33,Zealand
2008-01-01,653787.5,Central Denmark
2008-01-01,293137.5,North Denmark
2008-02-01,405040.62,Zealand
2008-02-01,286439.53,North Denmark
2008-02-01,644932.0,Central Denmark
2008-02-01,864214.29,Capital
2008-02-01,595143.33,Southern Denmark
2008-03-01,591100.0,Southern Denmark
2008-03-01,634629.17,Central Denmark
2008-03-01,846750.0,Capital
2008-03-01,399561.29,Zealand
2008-03-01,288482.5,North Denmark
2008-04-01,869206.25,Capital
2008-04-01,402024.14,Zealand
2008-04-01,590619.23,Southern Denmark
2008-04-01,283167.57,North Denmark
2008-04-01,642413.64,Central Denmark
2008-05-01,398023.08,Zealand
2008-05-01,598850.0,Southern Denmark
2008-05-01,642494.74,Central Denmark
2008-05-01,282332.26,North Denmark
2008-05-01,847150.0,Capital
2008-06-01,285755.17,North Denmark
2008-06-01,576240.91,Southern Denmark
2008-06-01,867075.86,Capital
2008-06-01,623326.32,Central Denmark
2008-06-01,407912.5,Zealand
2008-07-01,397430.43,Zealand
2008-07-01,846372.41,Capital
2008-07-01,598045.0,Southern Denmark
2008-07-01,637305.56,Central Denmark
2008-07-01,288519.23,North Denmark
2008-08-01,287947.83,North Denmark
2008-08-01,645293.75,Central Denmark
2008-08-01,595777.78,Southern Denmark
2008-08-01,868707.69,Capital
2008-08-01,407750.0,Zealand
2008-09-01,589540.0,Southern Denmark
2008-09-01,647983.33,Central Denmark
2008-09-01,282373.08,North Denmark
2008-09-01,405852.38,Zealand
2008-09-01,859778.57,Capital
2008-10-01,288874.07,North Denmark
2008-10-01,395521.74,Zealand
2008-10-01,619589.47,Central Denmark
2008-10-01,596133.33,Southern Denmark
2008-10-01,866657.14,Capital
2008-11-01,284903.45,North Denmark
2008-11-01,394620.0,Zealand
2008-11-01,843433.33,Capital
2008-11-01,596400.0,Southern Denmark
2008-11-01,623200.0,Central Denmark
2008-12-01,284239.39,North Denmark
2008-12-01,400353.57,Zealand
2008-12-01,845112.5,Capital
2008-12-01,590280.77,Southern Denmark
2008-12-01,639545.45,Central Denmark
2009-01-01,403156.25,Zealand
2009-01-01,628314.81,Central Denmark
2009-01-01,865788.24,Capital
2009-01-01,284585.0,North Denmark
2009-01-01,589576.67,Southern Denmark
