labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
76.60000000000001,01,Stockholm,2005-01-01,1889945,519733,27.499900790763753,95.3881726716915
76.60000000000001,03,Uppsala,2005-01-01,304367,81386,26.73942970164308,79.54031591095625
70.4,04,Södermanland,2005-01-01,261895,44152,16.858664732049103,81.9496363046259
72.2,05,Östergötland,2005-01-01,416303,84637,20.33062456912393,83.65733612296813
75.7,06,Jönköping,2005-01-01,330179,54052,16.37051417564412,82.39954691243234
75.69999999999999,07,Kronoberg,2005-01-01,178443,33358,18.69392467062311,76.81276373968157
72.2,08,Kalmar,2005-01-01,233944,38652,16.52190267756386,77.08297712273023
72.7,09,Gotland,2005-01-01,57488,9683,16.843515168382968,57.5754940161425
71.7,10,Blekinge,2005-01-01,150696,28007,18.585098476402827,78.69883739448957
72.8,12,Skåne,2005-01-01,1169464,256808,21.959461770520512,87.7212124528844
75.2,13,Halland,2005-01-01,285868,54211,18.963647557614003,78.82449242307639
74.2,14,Västra Götaland,2005-01-01,1528455,320817,20.98962677998371,83.34723626145356
71.3,17,Värmland,2005-01-01,273288,47508,17.383858786335292,73.88066801323147
73.5,18,Örebro,2005-01-01,274121,50353,18.368895487759055,82.07215061961688
75.30000000000001,19,Västmanland,2005-01-01,261391,47365,18.120363746265173,87.34041823238093
74.2,20,Dalarna,2005-01-01,275755,44084,15.986654820402169,79.36827981360265
72.4,21,Gävleborg,2005-01-01,275994,43560,15.782951803300072,77.70205149387306
73.8,22,Västernorrland,2005-01-01,243736,42957,17.62439688843667,75.88907670594413
73.4,23,Jämtland,2005-01-01,127028,22886,18.016500299146646,65.62962496457475
72.0,24,Västerbotten,2005-01-01,257652,59933,23.261220561066864,76.5016378681322
72.3,25,Norrbotten,2005-01-01,251740,46813,18.595773417017558,81.77008024151903
76.3,01,Stockholm,2005-04-01,1889945,519733,27.499900790763753,95.3881726716915
73.1,03,Uppsala,2005-04-01,304367,81386,26.73942970164308,79.54031591095625
70.80000000000001,04,Södermanland,2005-04-01,261895,44152,16.858664732049103,81.9496363046259
73.39999999999999,05,Östergötland,2005-04-01,416303,84637,20.33062456912393,83.65733612296813
76.5,06,Jönköping,2005-04-01,330179,54052,16.37051417564412,82.39954691243234
76.3,07,Kronoberg,2005-04-01,178443,33358,18.69392467062311,76.81276373968157
70.3,08,Kalmar,2005-04-01,233944,38652,16.52190267756386,77.08297712273023
71.6,09,Gotland,2005-04-01,57488,9683,16.843515168382968,57.5754940161425
71.4,10,Blekinge,2005-04-01,150696,28007,18.585098476402827,78.69883739448957
72.8,12,Skåne,2005-04-01,1169464,256808,21.959461770520512,87.7212124528844
73.7,13,Halland,2005-04-01,285868,54211,18.963647557614003,78.82449242307639
73.39999999999999,14,Västra Götaland,2005-04-01,1528455,320817,20.98962677998371,83.34723626145356
72.2,17,Värmland,2005-04-01,273288,47508,17.383858786335292,73.88066801323147
71.39999999999999,18,Örebro,2005-04-01,274121,50353,18.368895487759055,82.07215061961688
74.10000000000001,19,Västmanland,2005-04-01,261391,47365,18.120363746265173,87.34041823238093
70.39999999999999,20,Dalarna,2005-04-01,275755,44084,15.986654820402169,79.36827981360265
71.8,21,Gävleborg,2005-04-01,275994,43560,15.782951803300072,77.70205149387306
72.1,22,Västernorrland,2005-04-01,243736,42957,17.62439688843667,75.88907670594413
72.5,23,Jämtland,2005-04-01,127028,22886,18.016500299146646,65.62962496457475
72.69999999999999,24,Västerbotten,2005-04-01,257652,59933,23.261220561066864,76.5016378681322
69.4,25,Norrbotten,2005-04-01,251740,46813,18.595773417017558,81.77008024151903
75.6,01,Stockholm,2005-07-01,1889945,519733,27.499900790763753,95.3881726716915
70.8,03,Uppsala,2005-07-01,304367,81386,26.73942970164308,79.54031591095625
70.6,04,Södermanland,2005-07-01,261895,44152,16.858664732049103,81.9496363046259
71.2,05,Östergötland,2005-07-01,416303,84637,20.33062456912393,83.65733612296813
75.7,06,Jönköping,2005-07-01,330179,54052,16.37051417564412,82.39954691243234
75.3,07,Kronoberg,2005-07-01,178443,33358,18.69392467062311,76.81276373968157
66.6,08,Kalmar,2005-07-01,233944,38652,16.52190267756386,77.08297712273023
71.9,09,Gotland,2005-07-01,57488,9683,16.843515168382968,57.5754940161425
