date,target_actual,ID,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,population,high_edu_share,labour_force_share,urban_share,country,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21,GT_NO_0,GT_NO_1,GT_NO_2,GT_NO_6,GT_NO_7,GT_NO_8,GT_NO_10,GT_NO_11,GT_SE_0,GT_SE_1,GT_SE_2,GT_SE_5,GT_SE_6,GT_SE_7,GT_SE_8,GT_SE_9,GT_SE_10,GT_SE_11
2007-01-01,8.11,Blekinge,1.5342105263157895,0.16578947368421051,0.14210526315789473,0.1236842105263158,0.21052631578947367,0.25526315789473686,0.23947368421052634,0.1763157894736842,0.22894736842105262,0.30657894736842106,0.046052631578947366,150696.0,18.58509847640283,69.6,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77,28.57,13.99,7.89,0.0,15.7,22.34,0.0,22.44,26.32
2007-04-01,8.6,Blekinge,1.4942084942084943,0.13642213642213644,0.09395109395109395,0.11196911196911198,0.24195624195624196,0.23294723294723296,0.22136422136422138,0.3732303732303732,0.1969111969111969,0.17374517374517373,0.03346203346203346,151436.0,18.58509847640283,71.8,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.18,28.93,9.56,0.0,0.0,15.02,20.21,0.0,22.44,24.88
2007-07-01,6.85,Blekinge,1.0530973451327432,0.09987357774968394,0.09355246523388117,0.08343868520859671,0.20606826801517064,0.1820480404551201,0.19216182048040453,0.1011378002528445,0.17319848293299622,0.11630847029077118,0.029077117572692796,151436.0,18.977653926411158,72.8,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55,22.86,22.87,6.81,0.0,31.06,18.44,0.0,12.99,8.61
2007-10-01,6.71,Blekinge,1.1992528019925282,0.18306351183063513,0.12826899128268993,0.10709838107098382,0.14196762141967623,0.18555417185554174,0.22540473225404734,0.1581569115815691,0.1556662515566625,0.1357409713574097,0.0298879202988792,151436.0,18.977653926411158,73.30000000000003,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55,22.86,18.77,11.83,0.0,12.29,19.5,11.53,20.47,6.7
2008-01-01,6.5,Blekinge,1.7368421052631577,0.16973684210526316,0.11973684210526317,0.10921052631578947,0.2723684210526316,0.2710526315789474,0.26973684210526316,0.13289473684210526,0.2578947368421053,0.3460526315789474,0.17763157894736842,151436.0,18.977653926411158,69.8,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.12,27.14,15.7,0.0,0.0,23.55,28.72,5.76,24.8,13.88
2008-04-01,7.19,Blekinge,0.17035110533159947,0.09232769830949285,0.07542262678803642,0.06111833550065019,0.1482444733420026,0.1469440832249675,0.1716514954486346,0.3823146944083225,0.14174252275682706,0.18985695708712613,0.08452535760728218,151900.0,18.977653926411158,70.3,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.15,18.21,17.41,30.82,0.0,20.14,23.05,0.0,14.17,13.88
2008-07-01,4.6,Blekinge,0.776796973518285,0.0605296343001261,0.04918032786885246,0.05044136191677175,0.11727616645649433,0.08701134930643127,0.12862547288776796,0.11979823455233292,0.12484237074401008,0.15258511979823455,0.044136191677175286,151900.0,19.513495720868992,72.5,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,30.36,22.87,6.45,0.0,21.84,22.7,6.44,30.31,23.92
2008-10-01,5.38,Blekinge,0.7573435504469987,0.03831417624521073,0.0421455938697318,0.06768837803320563,0.08939974457215837,0.056194125159642394,0.17879948914431673,0.20689655172413793,0.09323116219667944,0.1264367816091954,0.033205619412515965,151900.0,19.513495720868992,70.5,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84,38.93,22.53,5.73,0.0,23.55,17.02,12.54,22.05,6.7
2009-01-01,8.6,Blekinge,0.9260752688172043,0.04166666666666667,0.03225806451612903,0.06182795698924732,0.16129032258064516,0.04973118279569893,0.20161290322580644,0.13978494623655913,0.12231182795698925,0.21236559139784947,0.10215053763440861,151900.0,19.513495720868992,67.7,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.62,41.43,20.82,0.0,0.0,22.53,18.09,9.83,23.62,28.23
2009-04-01,9.17,Blekinge,0.8803763440860215,0.036290322580645164,0.04032258064516129,0.04032258064516129,0.10752688172043011,0.05510752688172043,0.21908602150537637,0.22043010752688172,0.10887096774193547,0.13172043010752688,0.06317204301075269,152259.0,19.513495720868992,68.7,78.69883739448956,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.99,31.43,25.26,17.56,34.23,34.47,19.86,0.0,14.96,6.22
