;C_ID;geo;trends;ID;date;GT_DK_0;GT_DK_1;GT_DK_2;GT_DK_3;GT_DK_4;GT_DK_5;GT_DK_6;GT_DK_7;GT_DK_8;GT_DK_9;GT_DK_10;GT_DK_11;GT_DK_12;GT_DK_13;GT_DK_14;GT_DK_15;GT_DK_16;GT_DK_17;GT_DK_18;GT_DK_19;GT_DK_20;GT_DK_21;GT_NO_0;GT_NO_1;GT_NO_2;GT_NO_6;GT_NO_7;GT_NO_8;GT_NO_10;GT_NO_11;GT_SE_0;GT_SE_1;GT_SE_2;GT_SE_5;GT_SE_6;GT_SE_7;GT_SE_8;GT_SE_9;GT_SE_10;GT_SE_11
0;DK;DK-81;DK-81;North Denmark;2004Q1;0.0;74.33333333333333;81.0;0.0;67.33333333333333;39.666666666666664;10.666666666666666;21.666666666666668;67.66666666666667;8.0;36.0;39.333333333333336;33.333333333333336;33.333333333333336;61.666666666666664;9.333333333333334;0.0;0.0;6.333333333333333;41.0;53.333333333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;DK;DK-81;DK-81;North Denmark;2004Q2;36.666666666666664;73.0;78.66666666666667;0.0;36.666666666666664;25.0;39.0;20.0;78.66666666666667;8.666666666666666;39.333333333333336;56.333333333333336;0.0;53.333333333333336;24.0;0.0;0.0;0.0;5.333333333333333;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;DK;DK-81;DK-81;North Denmark;2004Q3;59.0;51.333333333333336;79.0;9.0;43.666666666666664;29.666666666666668;8.333333333333334;24.333333333333332;74.33333333333333;11.333333333333334;43.666666666666664;31.333333333333332;0.0;75.33333333333333;20.666666666666668;7.0;0.0;0.0;22.666666666666668;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;DK;DK-81;DK-81;North Denmark;2004Q4;0.0;57.0;63.333333333333336;18.0;52.333333333333336;26.666666666666668;33.333333333333336;23.666666666666668;65.33333333333333;9.666666666666666;48.333333333333336;0.0;0.0;30.333333333333332;21.0;7.0;0.0;0.0;16.333333333333332;41.666666666666664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;DK;DK-81;DK-81;North Denmark;2005Q1;42.0;54.333333333333336;92.66666666666667;14.0;38.0;33.666666666666664;13.0;26.666666666666668;67.66666666666667;11.666666666666666;63.333333333333336;45.0;18.666666666666668;16.0;16.666666666666668;22.333333333333332;0.0;43.666666666666664;13.0;50.333333333333336;20.333333333333332;62.333333333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;DK;DK-81;DK-81;North Denmark;2005Q2;33.0;51.333333333333336;64.66666666666667;0.0;43.666666666666664;43.666666666666664;13.666666666666666;28.333333333333332;71.66666666666667;11.666666666666666;34.333333333333336;79.66666666666667;39.0;33.333333333333336;50.0;39.0;0.0;21.666666666666668;18.666666666666668;55.666666666666664;22.0;32.333333333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;DK;DK-81;DK-81;North Denmark;2005Q3;42.666666666666664;58.666666666666664;63.666666666666664;7.0;62.0;67.66666666666667;5.666666666666667;15.666666666666666;81.66666666666667;18.0;53.666666666666664;42.0;57.666666666666664;14.333333333333334;36.666666666666664;16.666666666666668;0.0;20.333333333333332;20.0;35.0;18.333333333333332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;DK;DK-81;DK-81;North Denmark;2005Q4;27.666666666666668;37.666666666666664;61.666666666666664;5.666666666666667;23.666666666666668;35.666666666666664;10.666666666666666;28.0;82.66666666666667;18.0;51.333333333333336;32.333333333333336;52.666666666666664;0.0;47.333333333333336;18.0;33.333333333333336;21.666666666666668;12.666666666666666;34.333333333333336;41.0;24.666666666666668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;DK;DK-81;DK-81;North Denmark;2006Q1;30.0;60.0;69.0;15.0;38.333333333333336;15.333333333333334;16.666666666666668;33.333333333333336;83.0;15.333333333333334;41.0;27.666666666666668;40.0;39.666666666666664;24.0;22.666666666666668;0.0;27.666666666666668;19.666666666666668;56.333333333333336;6.333333333333333;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;DK;DK-81;DK-81;North Denmark;2006Q2;22.666666666666668;29.333333333333332;56.666666666666664;4.666666666666667;31.333333333333332;15.333333333333334;4.333333333333333;36.666666666666664;93.66666666666667;18.666666666666668;33.333333333333336;49.666666666666664;52.333333333333336;35.666666666666664;22.333333333333332;22.666666666666668;0.0;21.333333333333332;18.333333333333332;34.666666666666664;28.666666666666668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
