date,jobs,ID,labour_force,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other
2004-01-01,15821,Capital,,974,895,1429,2078,1115,1601,1835,2859,2471,1608
2004-04-01,16083,Capital,,920,861,1386,2178,1319,1454,2048,2864,2367,1628
2004-07-01,17789,Capital,,1347,1003,1688,2303,1527,1725,2147,2796,2277,1905
2004-10-01,16570,Capital,,1047,943,1563,1928,1308,1638,2184,3062,2344,1544
2005-01-01,18975,Capital,,1189,1052,1665,2457,1627,1806,2071,3584,2606,2037
2005-04-01,23773,Capital,,1304,1135,1903,3454,2502,2160,2839,4528,2996,2275
2005-07-01,23968,Capital,,1597,1331,1934,3375,2495,2178,2944,4493,2939,1969
2005-10-01,41119,Capital,,2643,2571,3841,4261,2789,4340,4939,9216,5915,2887
2006-01-01,33998,Capital,,2168,2172,2817,4115,2811,3328,3679,7271,4835,2591
2006-04-01,27888,Capital,,1332,1310,2182,4318,3471,2434,3093,5309,3445,2527
2006-07-01,24100,Capital,,1257,1149,1870,3873,2611,2014,2890,4470,3016,2199
2006-10-01,24709,Capital,,1373,1593,2090,3410,2172,2020,3098,4787,3397,2096
2007-01-01,37048,Capital,,2424,2841,3526,5405,3552,3147,3798,8305,4583,3313
2007-04-01,35662,Capital,,2079,2791,3495,5517,3754,2650,3988,7674,4083,3694
2007-07-01,30821,Capital,,2109,2303,2863,4910,3093,2308,3364,6571,3394,3431
2007-10-01,31961,Capital,,2367,2282,3252,4188,2550,2539,3566,6917,4157,3822
2008-01-01,33351,Capital,892000.0,2611,2348,3445,4621,2670,2814,3610,7594,4096,3347
2008-04-01,30618,Capital,872000.0,2404,2046,3054,4479,2667,2340,3606,6734,3587,3320
2008-07-01,24745,Capital,834000.0,2061,1704,2565,3705,1928,1933,3113,5242,2949,2512
2008-10-01,18795,Capital,824000.0,1493,1432,2111,2317,996,1455,2484,4051,2753,1965
2009-01-01,15994,Capital,842000.0,1069,1149,1682,1976,687,1079,2176,3295,2945,1882
2009-04-01,14874,Capital,838000.0,821,871,1524,2018,753,1068,2302,2655,2436,2101
2009-07-01,13035,Capital,834000.0,731,764,1287,1863,662,1045,2025,2185,1920,1986
2009-10-01,13024,Capital,821000.0,871,822,1478,1712,505,1148,1784,2318,1971,1850
2010-01-01,13842,Capital,821000.0,1010,917,1630,1751,558,1381,1702,2779,1643,2154
