date,labour_force,ID
2019-07-01,292000,North Denmark
2013-07-01,282000,North Denmark
2013-10-01,274000,North Denmark
2014-01-01,278000,North Denmark
2014-04-01,286000,North Denmark
2014-07-01,284000,North Denmark
2014-10-01,281000,North Denmark
2015-01-01,281000,North Denmark
2015-04-01,288000,North Denmark
2015-07-01,288000,North Denmark
2015-10-01,277000,North Denmark
2016-01-01,279000,North Denmark
2016-04-01,287000,North Denmark
2016-07-01,285000,North Denmark
2016-10-01,283000,North Denmark
2017-01-01,287000,North Denmark
2017-04-01,274000,North Denmark
2017-07-01,282000,North Denmark
2017-10-01,278000,North Denmark
2018-01-01,281000,North Denmark
2018-04-01,280000,North Denmark
2018-07-01,292000,North Denmark
2018-10-01,289000,North Denmark
2019-01-01,293000,North Denmark
2019-04-01,290000,North Denmark
2008-01-01,289000,North Denmark
2008-04-01,304000,North Denmark
2008-07-01,306000,North Denmark
2008-10-01,305000,North Denmark
2009-01-01,314000,North Denmark
2009-04-01,311000,North Denmark
2009-07-01,314000,North Denmark
2009-10-01,298000,North Denmark
2010-01-01,295000,North Denmark
2010-04-01,295000,North Denmark
2010-07-01,284000,North Denmark
2010-10-01,280000,North Denmark
2011-01-01,282000,North Denmark
2011-04-01,280000,North Denmark
2011-07-01,277000,North Denmark
2011-10-01,281000,North Denmark
2012-01-01,283000,North Denmark
2012-04-01,277000,North Denmark
2012-07-01,277000,North Denmark
2012-10-01,280000,North Denmark
2013-01-01,274000,North Denmark
2013-04-01,271000,North Denmark
2019-07-01,680000,Central Denmark
2013-07-01,639000,Central Denmark
2013-10-01,620000,Central Denmark
2014-01-01,621000,Central Denmark
2014-04-01,628000,Central Denmark
2014-07-01,638000,Central Denmark
2014-10-01,623000,Central Denmark
2015-01-01,622000,Central Denmark
2015-04-01,636000,Central Denmark
2015-07-01,643000,Central Denmark
2015-10-01,630000,Central Denmark
2016-01-01,637000,Central Denmark
2016-04-01,636000,Central Denmark
2016-07-01,655000,Central Denmark
2016-10-01,630000,Central Denmark
2017-01-01,641000,Central Denmark
2017-04-01,639000,Central Denmark
2017-07-01,659000,Central Denmark
2017-10-01,639000,Central Denmark
2018-01-01,661000,Central Denmark
2018-04-01,668000,Central Denmark
2018-07-01,663000,Central Denmark
2018-10-01,664000,Central Denmark
2019-01-01,677000,Central Denmark
2019-04-01,668000,Central Denmark
2008-01-01,646000,Central Denmark
2008-04-01,657000,Central Denmark
2008-07-01,677000,Central Denmark
2008-10-01,688000,Central Denmark
2009-01-01,669000,Central Denmark
2009-04-01,675000,Central Denmark
2009-07-01,680000,Central Denmark
2009-10-01,668000,Central Denmark
2010-01-01,686000,Central Denmark
2010-04-01,663000,Central Denmark
2010-07-01,647000,Central Denmark
2010-10-01,631000,Central Denmark
2011-01-01,636000,Central Denmark
2011-04-01,644000,Central Denmark
2011-07-01,642000,Central Denmark
2011-10-01,630000,Central Denmark
2012-01-01,625000,Central Denmark
2012-04-01,640000,Central Denmark
2012-07-01,638000,Central Denmark
2012-10-01,637000,Central Denmark
2013-01-01,639000,Central Denmark
2013-04-01,641000,Central Denmark
2019-07-01,605000,Southern Denmark
2013-07-01,572000,Southern Denmark
2013-10-01,561000,Southern Denmark
2014-01-01,560000,Southern Denmark
2014-04-01,563000,Southern Denmark
2014-07-01,567000,Southern Denmark
2014-10-01,572000,Southern Denmark
2015-01-01,575000,Southern Denmark
2015-04-01,568000,Southern Denmark
2015-07-01,567000,Southern Denmark
2015-10-01,572000,Southern Denmark
2016-01-01,568000,Southern Denmark
2016-04-01,566000,Southern Denmark
2016-07-01,574000,Southern Denmark
2016-10-01,581000,Southern Denmark
2017-01-01,579000,Southern Denmark
2017-04-01,593000,Southern Denmark
2017-07-01,584000,Southern Denmark
2017-10-01,589000,Southern Denmark
2018-01-01,588000,Southern Denmark
2018-04-01,593000,Southern Denmark
2018-07-01,601000,Southern Denmark
2018-10-01,596000,Southern Denmark
2019-01-01,584000,Southern Denmark
2019-04-01,580000,Southern Denmark
2008-01-01,600000,Southern Denmark
2008-04-01,613000,Southern Denmark
2008-07-01,635000,Southern Denmark
2008-10-01,628000,Southern Denmark
2009-01-01,613000,Southern Denmark
2009-04-01,626000,Southern Denmark
2009-07-01,628000,Southern Denmark
2009-10-01,606000,Southern Denmark
2010-01-01,601000,Southern Denmark
2010-04-01,604000,Southern Denmark
2010-07-01,589000,Southern Denmark
2010-10-01,597000,Southern Denmark
2011-01-01,599000,Southern Denmark
2011-04-01,594000,Southern Denmark
2011-07-01,594000,Southern Denmark
2011-10-01,591000,Southern Denmark
2012-01-01,596000,Southern Denmark
2012-04-01,593000,Southern Denmark
2012-07-01,585000,Southern Denmark
2012-10-01,564000,Southern Denmark
2013-01-01,574000,Southern Denmark
2013-04-01,578000,Southern Denmark
2019-07-01,979000,Capital
2013-07-01,914000,Capital
2013-10-01,907000,Capital
2014-01-01,897000,Capital
2014-04-01,913000,Capital
2014-07-01,936000,Capital
2014-10-01,935000,Capital
2015-01-01,940000,Capital
2015-04-01,940000,Capital
2015-07-01,937000,Capital
2015-10-01,944000,Capital
2016-01-01,965000,Capital
2016-04-01,972000,Capital
2016-07-01,953000,Capital
2016-10-01,960000,Capital
2017-01-01,970000,Capital
2017-04-01,969000,Capital
2017-07-01,973000,Capital
2017-10-01,964000,Capital
2018-01-01,947000,Capital
2018-04-01,964000,Capital
2018-07-01,963000,Capital
2018-10-01,968000,Capital
2019-01-01,964000,Capital
2019-04-01,984000,Capital
2008-01-01,892000,Capital
2008-04-01,872000,Capital
2008-07-01,834000,Capital
2008-10-01,824000,Capital
2009-01-01,842000,Capital
2009-04-01,838000,Capital
2009-07-01,834000,Capital
2009-10-01,821000,Capital
2010-01-01,821000,Capital
2010-04-01,865000,Capital
2010-07-01,912000,Capital
2010-10-01,898000,Capital
2011-01-01,909000,Capital
2011-04-01,907000,Capital
2011-07-01,905000,Capital
2011-10-01,896000,Capital
2012-01-01,911000,Capital
