date,jobs,ID,labour_force,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other
2004-01-01,635,Blekinge,,24,23,32,121,67,88,88,100,206,23
2004-04-01,673,Blekinge,,26,26,39,88,84,85,250,82,102,28
2004-07-01,337,Blekinge,,23,18,24,60,48,66,49,62,66,11
2004-10-01,463,Blekinge,,33,21,26,59,54,64,123,56,101,6
2005-01-01,547,Blekinge,,20,40,26,98,67,88,86,87,138,28
2005-04-01,761,Blekinge,76400.0,20,25,23,103,91,124,261,104,146,19
2005-07-01,472,Blekinge,76800.0,25,16,20,59,69,73,92,60,120,23
2005-10-01,651,Blekinge,72300.0,59,52,30,82,69,117,122,82,125,33
2006-01-01,708,Blekinge,73500.0,38,51,35,99,74,129,100,128,178,43
2006-04-01,926,Blekinge,74800.0,57,41,42,108,99,178,264,99,143,42
2006-07-01,594,Blekinge,76700.0,26,31,33,86,100,126,124,66,77,31
2006-10-01,732,Blekinge,76000.0,37,59,49,102,80,105,170,125,127,40
2007-01-01,1166,Blekinge,77700.0,126,108,94,160,194,182,134,174,233,35
2007-04-01,1161,Blekinge,79100.0,106,73,87,188,181,172,290,153,135,26
2007-07-01,833,Blekinge,80300.0,79,74,66,163,144,152,80,137,92,23
2007-10-01,963,Blekinge,76000.0,147,103,86,114,149,181,127,125,109,24
2008-01-01,1320,Blekinge,76900.0,129,91,83,207,206,205,101,196,263,135
2008-04-01,131,Blekinge,79300.0,71,58,47,114,113,132,294,109,146,65
2008-07-01,616,Blekinge,78300.0,48,39,40,93,69,102,95,99,121,35
2008-10-01,593,Blekinge,74400.0,30,33,53,70,44,140,162,73,99,26
2009-01-01,689,Blekinge,74400.0,31,24,46,120,37,150,104,91,158,76
2009-04-01,655,Blekinge,77399.99999999999,27,30,30,80,41,163,164,81,98,47
2009-07-01,432,Blekinge,77000.0,18,20,25,86,29,115,83,55,67,27
2009-10-01,632,Blekinge,74100.00000000001,31,41,61,76,45,162,142,72,86,43
2010-01-01,796,Blekinge,75700.0,52,63,60,126,49,189,97,105,164,88
2010-04-01,829,Blekinge,77200.0,55,49,63,125,57,135,211,109,137,76
2010-07-01,759,Blekinge,78800.0,63,57,59,90,41,143,168,109,131,66
2010-10-01,888,Blekinge,77500.0,55,61,63,74,59,143,212,143,171,84
2011-01-01,164,Blekinge,76600.0,79,57,65,156,108,183,104,190,245,152
2011-04-01,13,Blekinge,79400.0,81,78,66,146,131,188,185,122,125,77
2011-07-01,760,Blekinge,80000.0,69,69,74,111,92,155,110,83,104,34
2011-10-01,855,Blekinge,77600.00000000001,81,101,49,100,67,161,123,150,127,43
